num_leaves,max_depth,learning_rate,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,scale_pos_weight,min_split_gain,value
148,4,0.026421587448496004,100,0.5493406122764555,0.4567585531097016,0.00010501614691258245,0.3346979165748011,3517.9215534029663,0.26574300509182536,0.5
182,4,0.007438183213840082,85,0.9944810722668047,0.8383849500549285,0.0004889991287120001,1.3531598054188264e-05,7216.718667446983,0.4388054100125617,0.5
233,5,0.006640429271715327,78,0.9095201429125105,0.95181787607173,0.0010885574918966202,4.827482975008131e-05,6065.64779708802,0.4018212198540197,0.5
172,3,0.008042501050502296,98,0.7601331193689712,0.8104837212409896,0.0003538873063146397,0.011210020724360297,7847.057115703756,0.34670527027130515,0.5
196,5,0.18598469897164918,92,0.5717509021909088,0.9004592562943403,5.762822930821231e-05,0.0014575358838651664,5891.108517033105,0.504493608996215,0.5
102,4,0.252457325231289,14,0.858357480969705,0.9955902931473267,0.003442102606966645,1.7060028950091104,5410.953131079764,0.17079974060325293,0.5
251,10,0.005265097673445249,84,0.9560020723099819,0.7320072133331084,2.426876244005564e-05,6.317387618130577e-05,8445.457223471756,0.07839018787117286,0.5
213,7,0.013693413268308006,23,0.8072075313631683,0.8121662110174551,0.00013793574483675683,0.005351911214976839,4592.736380188058,0.9566560681903311,0.5
122,4,0.13942270917706098,16,0.6539459806717558,0.6854440444974593,7.169437046872089,0.07629985847475586,7222.184774690644,0.4564788685929924,0.5
36,12,0.019119023864825384,29,0.5845125535881605,0.865476652184124,0.024537988838583515,1.1552777364216232e-05,9166.0587829955,0.15659018499644745,0.5
146,6,0.08543544641914798,42,0.5154514298898063,0.9576331590033226,2.885627216900458,0.2164609435668524,2457.1708096743196,0.25057297633573894,0.5
32,9,0.005309369710755774,92,0.4274450019617708,0.7773049808023123,0.0007752863705706639,0.017565604221996062,6742.792895561297,0.08171936326120993,0.5
52,7,0.008873048208995024,95,0.5510009771666239,0.8675354172502096,0.002791619748030048,0.0026039908727817475,6130.644060152363,0.17252047518625493,0.5
23,5,0.005752664309086411,89,0.46009602818963735,0.49969106273852615,0.00023087527891634338,0.05228667857572537,4574.128598233538,0.327230469252389,0.5
99,8,0.00628862413202458,76,0.7520172700788724,0.9383078015358541,0.13717020371325725,3.9856155786948326,7441.7381113731335,0.684439884317366,0.5
75,11,0.05698397034606327,81,0.40701672501197417,0.6126590407697543,8.604868082431969e-05,0.8881538880002721,6290.345632100906,0.20999300856603065,0.5
45,12,0.21149803991256938,88,0.5083251692033147,0.8198690322853933,1.4874425631764748e-05,0.0007725123512145998,3967.5160496056214,0.042985092280168724,0.5
134,10,0.013746214530932726,70,0.4936878712015632,0.5589855795852582,0.011420894785687974,0.007153748161774516,4887.106651402537,0.2966654967310638,0.5
112,11,0.15093532996950415,62,0.5440701110043591,0.44548277281126203,0.0010864147901600148,0.022248231996956094,5723.1623639727795,0.7846660667460466,0.5
69,3,0.035856885181107634,52,0.5996438078638887,0.4060186945770128,0.00046857305961326773,0.001418541279857301,5434.088861598802,0.12696488207087225,0.5
