Loaded 156,950 sources from data/benchmark/benchmark_master_v3.csv
Cards directory: cards/benchmark_v3
Workers: 8 | Timeout: 60s | Max retries: 3
Starting at 2026-03-02T09:16:25.223599+00:00
------------------------------------------------------------
Queued initial batch: 64 in-flight requests
[heartbeat] processed=238/156,950 in_flight=64 done=145 skipped=42 failed=51 cards=0.00GB elapsed=0h49m ETA=28 days, 22:25:34
[heartbeat] processed=238/156,950 in_flight=64 done=145 skipped=42 failed=51 cards=0.00GB elapsed=0h50m ETA=29 days, 5:25:28
[heartbeat] processed=239/156,950 in_flight=64 done=145 skipped=42 failed=52 cards=0.00GB elapsed=0h50m ETA=29 days, 13:12:39
[heartbeat] processed=239/156,950 in_flight=64 done=145 skipped=42 failed=52 cards=0.00GB elapsed=0h51m ETA=29 days, 20:12:21
[heartbeat] processed=243/156,950 in_flight=64 done=145 skipped=42 failed=56 cards=0.00GB elapsed=0h51m ETA=30 days, 4:11:30
[heartbeat] processed=246/156,950 in_flight=64 done=145 skipped=42 failed=59 cards=0.00GB elapsed=0h52m ETA=30 days, 11:44:44
[heartbeat] processed=246/156,950 in_flight=64 done=145 skipped=42 failed=59 cards=0.00GB elapsed=0h52m ETA=30 days, 18:44:27
[heartbeat] processed=246/156,950 in_flight=64 done=145 skipped=42 failed=59 cards=0.00GB elapsed=0h53m ETA=31 days, 1:44:15
[heartbeat] processed=246/156,950 in_flight=64 done=145 skipped=42 failed=59 cards=0.00GB elapsed=0h53m ETA=31 days, 8:43:59
[heartbeat] processed=247/156,950 in_flight=64 done=145 skipped=42 failed=60 cards=0.00GB elapsed=0h54m ETA=31 days, 16:32:06
[heartbeat] processed=247/156,950 in_flight=64 done=145 skipped=42 failed=60 cards=0.00GB elapsed=0h54m ETA=31 days, 23:31:51
[heartbeat] processed=253/156,950 in_flight=64 done=145 skipped=42 failed=66 cards=0.00GB elapsed=0h55m ETA=32 days, 8:16:32
[heartbeat] processed=254/156,950 in_flight=64 done=145 skipped=42 failed=67 cards=0.00GB elapsed=0h56m ETA=32 days, 16:12:45
[heartbeat] processed=254/156,950 in_flight=64 done=145 skipped=42 failed=67 cards=0.00GB elapsed=0h56m ETA=32 days, 23:12:46
[heartbeat] processed=255/156,950 in_flight=64 done=146 skipped=42 failed=67 cards=0.00GB elapsed=0h57m ETA=33 days, 2:37:14
[heartbeat] processed=255/156,950 in_flight=64 done=146 skipped=42 failed=67 cards=0.00GB elapsed=0h57m ETA=33 days, 9:34:45
[heartbeat] processed=255/156,950 in_flight=64 done=146 skipped=42 failed=67 cards=0.00GB elapsed=0h58m ETA=33 days, 16:32:39
[heartbeat] processed=255/156,950 in_flight=64 done=146 skipped=42 failed=67 cards=0.00GB elapsed=0h58m ETA=33 days, 23:30:10
[heartbeat] processed=261/156,950 in_flight=64 done=146 skipped=42 failed=73 cards=0.00GB elapsed=0h59m ETA=34 days, 7:10:21
[heartbeat] processed=262/156,950 in_flight=64 done=146 skipped=42 failed=74 cards=0.00GB elapsed=0h59m ETA=34 days, 15:04:31
[heartbeat] processed=262/156,950 in_flight=64 done=146 skipped=42 failed=74 cards=0.00GB elapsed=1h00m ETA=34 days, 22:02:01
[heartbeat] processed=263/156,950 in_flight=64 done=146 skipped=42 failed=75 cards=0.00GB elapsed=1h00m ETA=35 days, 5:38:43
[heartbeat] processed=263/156,950 in_flight=64 done=146 skipped=42 failed=75 cards=0.00GB elapsed=1h01m ETA=35 days, 12:36:16
[heartbeat] processed=264/156,950 in_flight=64 done=147 skipped=42 failed=75 cards=0.00GB elapsed=1h01m ETA=35 days, 15:15:40
[heartbeat] processed=267/156,950 in_flight=64 done=147 skipped=42 failed=78 cards=0.00GB elapsed=1h02m ETA=35 days, 23:11:02
[heartbeat] processed=270/156,950 in_flight=64 done=148 skipped=42 failed=80 cards=0.00GB elapsed=1h02m ETA=36 days, 2:08:40
[heartbeat] processed=270/156,950 in_flight=64 done=148 skipped=42 failed=80 cards=0.00GB elapsed=1h03m ETA=36 days, 9:01:39
[heartbeat] processed=270/156,950 in_flight=64 done=148 skipped=42 failed=80 cards=0.00GB elapsed=1h03m ETA=36 days, 15:54:41
