source_id,error,timestamp
4FGL J0002.4-5156,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:08:18.272878+00:00
4FGL J0002.3-0815,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:08:37.522487+00:00
4FGL J0002.1-6728,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:10:26.133599+00:00
4FGL J0001.8-2153,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:11:35.369635+00:00
4FGL J0001.5+2113,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:11:35.374543+00:00
4FGL J0001.6-4156,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:11:35.376103+00:00
4FGL J0001.4-0010,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:11:35.451786+00:00
5BZQ J2357-1125,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:11:53.744215+00:00
4FGL J0001.2-0747,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:11:53.759317+00:00
5BZQ J2359-3133,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:12:12.823132+00:00
5BZQ J2358+3922,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:15:10.924236+00:00
5BZQ J2358+1955,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:15:11.068560+00:00
5BZB J2359-3037,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:15:11.098179+00:00
5BZQ J2358+0430,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:15:11.286629+00:00
5BZQ J2358-1020,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:15:29.071533+00:00
5BZQ J2358-4555,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:15:29.074438+00:00
4FGL J0001.2+4741,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:15:48.179712+00:00
4FGL J0016.5+1702,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:16:56.087186+00:00
4FGL J0017.0-0649,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:18:46.478124+00:00
4FGL J0017.5-0514,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:18:46.561796+00:00
4FGL J0042.0+3640,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:18:46.671546+00:00
4FGL J0040.9+3203,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:19:04.398484+00:00
4FGL J0041.4+3800,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:19:04.403455+00:00
4FGL J0040.3+4050,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:20:31.404073+00:00
4FGL J0039.1+4330,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:21:43.675360+00:00
4FGL J0042.2+2319,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:22:22.069974+00:00
4FGL J0039.0-0946,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:22:22.070147+00:00
4FGL J0039.1-2219,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:22:22.096183+00:00
4FGL J0038.1+0012,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:22:35.949172+00:00
4FGL J0037.9+2612,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:22:39.796997+00:00
4FGL J0037.8+1239,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:22:39.798214+00:00
4FGL J0036.9+1832,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:24:06.777886+00:00
4FGL J0036.8+1431,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:25:19.028926+00:00
4FGL J0035.8-0837,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:25:57.393647+00:00
4FGL J0035.9+5950,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:25:57.394961+00:00
4FGL J0035.8+6131,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:25:57.396493+00:00
4FGL J0038.2-2459,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:26:11.279910+00:00
4FGL J0043.5-0442,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:26:15.790045+00:00
4FGL J0035.2+1514,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:26:15.794806+00:00
4FGL J0043.7-1116,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:27:42.075790+00:00
4FGL J0049.6-4500,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:28:54.329222+00:00
4FGL J0049.4-5402,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:29:32.754746+00:00
4FGL J0049.2+6227,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:29:32.756555+00:00
4FGL J0049.5-4150,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:29:32.756621+00:00
4FGL J0049.1+4223,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:29:46.616714+00:00
4FGL J0049.0+2252,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:29:51.094541+00:00
4FGL J0048.6-2427,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:29:51.097983+00:00
4FGL J0047.9+2233,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:31:17.462319+00:00
4FGL J0043.6+2223,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:32:29.695412+00:00
4FGL J0047.9+5448,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:33:08.093516+00:00
4FGL J0047.0+5657,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:33:08.093687+00:00
4FGL J0045.7+1217,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:33:08.098650+00:00
4FGL J0045.3+2128,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:33:21.959253+00:00
4FGL J0045.1-3706,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:33:26.403440+00:00
4FGL J0044.9+4553,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:33:26.405302+00:00
4FGL J0044.8+6802,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:34:52.766092+00:00
4FGL J0044.2-8424,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:36:05.009583+00:00
4FGL J0035.0-5728,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:36:43.463140+00:00
4FGL J0043.8+3425,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:36:43.463294+00:00
4FGL J0047.9+3947,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:36:43.463333+00:00
4FGL J0034.0-4116,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:36:57.296593+00:00
4FGL J0023.7+4457,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:37:01.736641+00:00
4FGL J0033.9+3858,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:37:01.739154+00:00
4FGL J0022.1-1854,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:40:18.790176+00:00
4FGL J0022.0+0006,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:40:18.791432+00:00
4FGL J0021.9-5140,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:40:18.796434+00:00
4FGL J0021.5-2221,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:41:16.076621+00:00
4FGL J0019.3-8152,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:42:44.750226+00:00
4FGL J0018.4+2946,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:43:54.138076+00:00
4FGL J0019.2-5640,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:43:54.144914+00:00
4FGL J0018.8+2611,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:43:54.144983+00:00
4FGL J0017.8+1455,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:44:52.241438+00:00
4FGL J0024.5-0810,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:45:33.339750+00:00
4FGL J0021.0+0322,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:45:33.341079+00:00
4FGL J0024.7+0349,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:46:20.296372+00:00
4FGL J0033.3-2040,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:47:29.428291+00:00
4FGL J0032.4-2849,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:48:27.571711+00:00
4FGL J0032.3-5522,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:48:30.983633+00:00
4FGL J0031.3+0726,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:49:08.661691+00:00
4FGL J0030.6-0212,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:49:08.691218+00:00
4FGL J0030.3-4224,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:49:55.644171+00:00
4FGL J0030.2-1647,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:50:20.327921+00:00
4FGL J0030.2+0001,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:50:20.389749+00:00
