source_id,ra,dec,redshift,z_bin,class,y_true
081809.90+294841.8,124.541277,29.811617,0.272941,z_0.0-0.3,normal_agn,0
083754.97+175251.2,129.479062,17.880901,0.232067,z_0.0-0.3,normal_agn,0
075620.07+304535.4,119.083651,30.759840,0.235748,z_0.0-0.3,normal_agn,0
082508.23+422516.2,126.284306,42.421186,0.186036,z_0.0-0.3,normal_agn,0
080309.36+553620.5,120.789028,55.605702,0.262317,z_0.0-0.3,normal_agn,0
082216.91+345508.4,125.570475,34.919011,0.025795,z_0.0-0.3,normal_agn,0
082405.19+445246.0,126.021652,44.879467,0.219690,z_0.0-0.3,normal_agn,0
083837.29+561513.8,129.655385,56.253847,0.299000,z_0.0-0.3,normal_agn,0
080652.11+564412.8,121.717138,56.736897,0.180000,z_0.0-0.3,normal_agn,0
080422.61+192638.7,121.094247,19.444094,0.278965,z_0.0-0.3,normal_agn,0
080409.24+385348.7,121.038501,38.896884,0.211190,z_0.0-0.3,normal_agn,0
080940.88+300724.4,122.420362,30.123456,0.258097,z_0.0-0.3,normal_agn,0
074906.50+451033.8,117.277117,45.176080,0.192177,z_0.0-0.3,normal_agn,0
080544.13+113040.2,121.433901,11.511191,0.199100,z_0.0-0.3,normal_agn,0
081630.15+272740.4,124.125649,27.461226,0.215973,z_0.0-0.3,normal_agn,0
081237.83+435635.0,123.157635,43.943058,0.183331,z_0.0-0.3,normal_agn,0
080846.15+545132.6,122.192301,54.859072,0.139670,z_0.0-0.3,normal_agn,0
083138.49+262840.3,127.910384,26.477888,0.239989,z_0.0-0.3,normal_agn,0
081438.27+290619.9,123.659492,29.105531,0.225983,z_0.0-0.3,normal_agn,0
081312.54+054208.6,123.302251,5.702398,0.295000,z_0.0-0.3,normal_agn,0
083236.28+044505.9,128.151208,4.751664,0.291547,z_0.0-0.3,normal_agn,0
084349.32+464400.7,130.955508,46.733539,0.215000,z_0.0-0.3,normal_agn,0
082451.13+473221.4,126.213049,47.539281,0.285959,z_0.0-0.3,normal_agn,0
082509.25+263438.6,126.288581,26.577396,0.244547,z_0.0-0.3,normal_agn,0
082628.20+085535.4,126.617510,8.926501,0.254200,z_0.0-0.3,normal_agn,0
084001.29+502944.9,130.005411,50.495828,0.276787,z_0.0-0.3,normal_agn,0
080330.33+152915.1,120.876397,15.487551,0.269923,z_0.0-0.3,normal_agn,0
075801.99+491022.4,119.508295,49.172911,0.276229,z_0.0-0.3,normal_agn,0
084443.94+312003.8,131.183095,31.334400,0.287859,z_0.0-0.3,normal_agn,0
080540.55+481046.3,121.418993,48.179552,0.224302,z_0.0-0.3,normal_agn,0
081249.58+463050.7,123.206610,46.514090,0.282000,z_0.0-0.3,normal_agn,0
075314.81+305736.6,118.311749,30.960181,0.276598,z_0.0-0.3,normal_agn,0
083640.18+155229.7,129.167442,15.874929,0.229086,z_0.0-0.3,normal_agn,0
082733.93+043617.3,126.891389,4.604814,0.220883,z_0.0-0.3,normal_agn,0
083746.61+320311.8,129.444218,32.053287,0.225168,z_0.0-0.3,normal_agn,0
082400.61+530606.9,126.002560,53.101930,0.299000,z_0.0-0.3,normal_agn,0
075214.15+514813.3,118.058960,51.803703,0.267108,z_0.0-0.3,normal_agn,0
080624.78+450701.3,121.603291,45.117031,0.137000,z_0.0-0.3,normal_agn,0
075503.96+173325.8,118.766514,17.557170,0.243183,z_0.0-0.3,normal_agn,0
080426.23+503736.6,121.109321,50.626861,0.277000,z_0.0-0.3,normal_agn,0
081044.98+364340.6,122.687454,36.727949,0.215747,z_0.0-0.3,normal_agn,0
083005.72+593248.1,127.523869,59.546703,0.245600,z_0.0-0.3,normal_agn,0
081612.81+140058.4,124.053413,14.016232,0.204804,z_0.0-0.3,normal_agn,0
080829.17+440754.1,122.121545,44.131704,0.275259,z_0.0-0.3,normal_agn,0
083254.76+452610.3,128.228205,45.436202,0.182000,z_0.0-0.3,normal_agn,0
081501.85+525255.5,123.757722,52.882087,0.125000,z_0.0-0.3,normal_agn,0
081941.44+451406.6,124.922678,45.235188,0.194015,z_0.0-0.3,normal_agn,0
083127.59+054924.6,127.864971,5.823507,0.229130,z_0.0-0.3,normal_agn,0
081231.43+441620.8,123.130996,44.272459,0.296627,z_0.0-0.3,normal_agn,0
074948.26+345444.0,117.451100,34.912226,0.132033,z_0.0-0.3,normal_agn,0
074920.00+234104.4,117.333338,23.684564,0.296127,z_0.0-0.3,normal_agn,0
075752.13+434504.1,119.467238,43.751145,0.154000,z_0.0-0.3,normal_agn,0
075204.44+490616.9,118.018503,49.104716,0.252578,z_0.0-0.3,normal_agn,0
075217.84+193542.2,118.074351,19.595076,0.117217,z_0.0-0.3,normal_agn,0
081840.29+210208.5,124.667900,21.035706,0.234374,z_0.0-0.3,normal_agn,0
083518.53+274430.3,128.827209,27.741765,0.192220,z_0.0-0.3,normal_agn,0
080220.71+330730.8,120.586316,33.125236,0.163967,z_0.0-0.3,normal_agn,0
083703.29+250815.2,129.263746,25.137574,0.275476,z_0.0-0.3,normal_agn,0
080852.25+131908.7,122.217736,13.319106,0.284000,z_0.0-0.3,normal_agn,0
080711.17+430906.9,121.796543,43.151932,0.260000,z_0.0-0.3,normal_agn,0
082800.60+401135.1,127.002519,40.193106,0.221250,z_0.0-0.3,normal_agn,0
083225.34+370736.2,128.105596,37.126744,0.092145,z_0.0-0.3,normal_agn,0
081651.86+495334.8,124.216117,49.893007,0.159138,z_0.0-0.3,normal_agn,0
081443.40+435314.7,123.680834,43.887427,0.224000,z_0.0-0.3,normal_agn,0
075623.13+455926.6,119.096415,45.990731,0.209000,z_0.0-0.3,normal_agn,0
074852.21+475435.0,117.217569,47.909723,0.034518,z_0.0-0.3,normal_agn,0
081734.32+220724.2,124.393032,22.123395,0.268258,z_0.0-0.3,normal_agn,0
082012.50+352053.8,125.052099,35.348281,0.143516,z_0.0-0.3,normal_agn,0
081527.29+445937.4,123.863714,44.993735,0.268303,z_0.0-0.3,normal_agn,0
075903.88+384226.1,119.766203,38.707268,0.217954,z_0.0-0.3,normal_agn,0
082638.04+435300.5,126.658507,43.883479,0.224073,z_0.0-0.3,normal_agn,0
081456.09+532533.5,123.733734,53.425985,0.119724,z_0.0-0.3,normal_agn,0
075147.71+245352.7,117.948810,24.897988,0.197766,z_0.0-0.3,normal_agn,0
081803.70+434442.1,124.515450,43.745040,0.294495,z_0.0-0.3,normal_agn,0
075510.90+330421.8,118.795449,33.072745,0.257347,z_0.0-0.3,normal_agn,0
075956.76+293630.8,119.986506,29.608562,0.291353,z_0.0-0.3,normal_agn,0
081521.51+492126.3,123.839647,49.357320,0.281795,z_0.0-0.3,normal_agn,0
083417.90+491439.2,128.574622,49.244236,0.173144,z_0.0-0.3,normal_agn,0
080720.63+144928.3,121.835965,14.824550,0.205714,z_0.0-0.3,normal_agn,0
075012.33+225334.0,117.551409,22.892782,0.233120,z_0.0-0.3,normal_agn,0
082358.30+213545.2,125.992953,21.595899,0.248659,z_0.0-0.3,normal_agn,0
082014.82+451358.9,125.061786,45.233051,0.198000,z_0.0-0.3,normal_agn,0
083246.92+285312.0,128.195506,28.886672,0.226197,z_0.0-0.3,normal_agn,0
084016.10+351337.6,130.067100,35.227124,0.263395,z_0.0-0.3,normal_agn,0
082205.24+455349.1,125.521839,45.896989,0.299000,z_0.0-0.3,normal_agn,0
081626.92+193630.0,124.112195,19.608335,0.460114,z_0.3-0.6,normal_agn,0
080204.65+513640.5,120.519403,51.611266,0.510000,z_0.3-0.6,normal_agn,0
075446.07+403019.8,118.691967,40.505503,0.502893,z_0.3-0.6,normal_agn,0
080427.98+522306.2,121.116619,52.385059,0.356555,z_0.3-0.6,normal_agn,0
082227.42+482747.9,125.614272,48.463317,0.473000,z_0.3-0.6,normal_agn,0
083817.01+202804.9,129.570882,20.468034,0.362081,z_0.3-0.6,normal_agn,0
080733.65+134055.7,121.890225,13.682157,0.566607,z_0.3-0.6,normal_agn,0
081912.05+204806.5,124.800211,20.801823,0.418840,z_0.3-0.6,normal_agn,0
083407.28+394537.2,128.530361,39.760340,0.582721,z_0.3-0.6,normal_agn,0
081015.33+412110.6,122.563915,41.352964,0.522346,z_0.3-0.6,normal_agn,0
074844.87+441422.0,117.186960,44.239452,0.428432,z_0.3-0.6,normal_agn,0
075355.23+161938.5,118.480164,16.327384,0.561788,z_0.3-0.6,normal_agn,0
084116.86+364701.0,130.320282,36.783624,0.587519,z_0.3-0.6,normal_agn,0
080254.32+325725.7,120.726348,32.957142,0.561590,z_0.3-0.6,normal_agn,0
082654.61+422228.1,126.727577,42.374489,0.536693,z_0.3-0.6,normal_agn,0
082548.51+532854.4,126.452129,53.481796,0.440036,z_0.3-0.6,normal_agn,0
075921.56+381204.9,119.839835,38.201369,0.454127,z_0.3-0.6,normal_agn,0
083532.06+530011.7,128.883588,53.003269,0.549339,z_0.3-0.6,normal_agn,0
084339.24+053125.2,130.913524,5.523690,0.519598,z_0.3-0.6,normal_agn,0
083026.01+534834.0,127.608405,53.809450,0.403000,z_0.3-0.6,normal_agn,0
080718.99+140524.7,121.829133,14.090216,0.387570,z_0.3-0.6,normal_agn,0
082350.66+380858.0,125.961093,38.149458,0.474673,z_0.3-0.6,normal_agn,0
081238.61+321537.8,123.160878,32.260500,0.499104,z_0.3-0.6,normal_agn,0
081805.75+281733.9,124.523994,28.292773,0.542517,z_0.3-0.6,normal_agn,0
083325.78+402354.0,128.357434,40.398342,0.451370,z_0.3-0.6,normal_agn,0
082340.20+510815.7,125.917519,51.137720,0.554000,z_0.3-0.6,normal_agn,0
084436.15+551352.3,131.150636,55.231216,0.469367,z_0.3-0.6,normal_agn,0
082652.18+083212.6,126.717450,8.536858,0.507000,z_0.3-0.6,normal_agn,0
080133.28+341737.6,120.388683,34.293798,0.338312,z_0.3-0.6,normal_agn,0
074928.05+175434.1,117.366911,17.909483,0.524165,z_0.3-0.6,normal_agn,0
083228.60-045324.8,128.119200,-4.890228,0.466500,z_0.3-0.6,normal_agn,0
083947.90+122121.6,129.949612,12.356001,0.581329,z_0.3-0.6,normal_agn,0
084258.18+324350.7,130.742452,32.730758,0.340015,z_0.3-0.6,normal_agn,0
075813.57+432544.0,119.556577,43.428900,0.332000,z_0.3-0.6,normal_agn,0
074953.70+225439.2,117.473768,22.910901,0.573777,z_0.3-0.6,normal_agn,0
080343.17+373305.6,120.929878,37.551575,0.495021,z_0.3-0.6,normal_agn,0
080514.64+465228.8,121.311029,46.874686,0.581033,z_0.3-0.6,normal_agn,0
082345.60+325929.5,125.940016,32.991544,0.400501,z_0.3-0.6,normal_agn,0
075134.80+220306.9,117.895029,22.051937,0.551449,z_0.3-0.6,normal_agn,0
083728.47+370638.3,129.368643,37.110655,0.528792,z_0.3-0.6,normal_agn,0
082047.36+582845.2,125.197361,58.479232,0.423600,z_0.3-0.6,normal_agn,0
075903.04+245203.8,119.762680,24.867729,0.388494,z_0.3-0.6,normal_agn,0
081749.43+334700.2,124.455960,33.783411,0.365576,z_0.3-0.6,normal_agn,0
080644.42+484149.1,121.685123,48.696993,0.370000,z_0.3-0.6,normal_agn,0
084459.28+350314.7,131.247006,35.054093,0.432798,z_0.3-0.6,normal_agn,0
074946.51+285409.8,117.443798,28.902743,0.542281,z_0.3-0.6,normal_agn,0
082143.90+274438.7,125.432935,27.744088,0.508430,z_0.3-0.6,normal_agn,0
080333.22+243033.1,120.888425,24.509222,0.359495,z_0.3-0.6,normal_agn,0
084248.78+520725.9,130.703255,52.123877,0.567000,z_0.3-0.6,normal_agn,0
075047.33+483926.2,117.697215,48.657287,0.584766,z_0.3-0.6,normal_agn,0
075757.57+451230.1,119.489894,45.208370,0.537000,z_0.3-0.6,normal_agn,0
