source_id,ra,dec,redshift,z_bin,class,y_true
080037.62+461257.9,120.156788,46.216092,0.239000,z_0.0-0.3,normal_agn,0
084206.38+343856.0,130.526596,34.648896,0.286144,z_0.0-0.3,normal_agn,0
083045.40+450235.8,127.689199,45.043301,0.182000,z_0.0-0.3,normal_agn,0
080818.34+481758.9,122.076448,48.299705,0.217000,z_0.0-0.3,normal_agn,0
081835.59+390911.1,124.648318,39.153100,0.187115,z_0.0-0.3,normal_agn,0
084142.99+040427.5,130.429139,4.074325,0.255063,z_0.0-0.3,normal_agn,0
083849.56+463204.3,129.706512,46.534553,0.258000,z_0.0-0.3,normal_agn,0
083553.46+055317.1,128.972765,5.888089,0.205120,z_0.0-0.3,normal_agn,0
083139.75+195605.4,127.915660,19.934840,0.210900,z_0.0-0.3,normal_agn,0
081916.75+270733.8,124.819809,27.126060,0.261000,z_0.0-0.3,normal_agn,0
075102.37+241019.0,117.759875,24.171956,0.246148,z_0.0-0.3,normal_agn,0
083148.87+042939.0,127.953653,4.494193,0.174724,z_0.0-0.3,normal_agn,0
082537.76+474029.4,126.407338,47.674851,0.249155,z_0.0-0.3,normal_agn,0
075824.06+431111.0,119.600287,43.186410,0.257000,z_0.0-0.3,normal_agn,0
080308.64+530004.7,120.786027,53.001320,0.287471,z_0.0-0.3,normal_agn,0
083303.21+272241.8,128.263386,27.378296,0.271909,z_0.0-0.3,normal_agn,0
081822.14+233206.8,124.592255,23.535238,0.243935,z_0.0-0.3,normal_agn,0
081451.42+433010.8,123.714257,43.503010,0.278000,z_0.0-0.3,normal_agn,0
081252.45+402348.8,123.218554,40.396911,0.188492,z_0.0-0.3,normal_agn,0
081636.18+294135.7,124.150771,29.693272,0.260264,z_0.0-0.3,normal_agn,0
080118.88+203556.2,120.328684,20.598969,0.258856,z_0.0-0.3,normal_agn,0
081652.88+241612.5,124.220347,24.270162,0.275805,z_0.0-0.3,normal_agn,0
081112.57+224230.4,122.802388,22.708460,0.242398,z_0.0-0.3,normal_agn,0
075437.80+181240.7,118.657510,18.211322,0.297736,z_0.0-0.3,normal_agn,0
083852.91+264120.9,129.720476,26.689141,0.297480,z_0.0-0.3,normal_agn,0
080930.46+214614.9,122.376949,21.770814,0.151809,z_0.0-0.3,normal_agn,0
081657.67+365743.5,124.240299,36.962098,0.279360,z_0.0-0.3,normal_agn,0
081933.49+393233.2,124.889560,39.542558,0.241293,z_0.0-0.3,normal_agn,0
080600.19+134322.0,121.500820,13.722786,0.268347,z_0.0-0.3,normal_agn,0
081738.33+242330.0,124.409729,24.391688,0.282236,z_0.0-0.3,normal_agn,0
084205.57+075925.5,130.523220,7.990434,0.134044,z_0.0-0.3,normal_agn,0
080742.46+375332.1,121.926946,37.892258,0.230215,z_0.0-0.3,normal_agn,0
083658.90+442602.2,129.245441,44.433970,0.254560,z_0.0-0.3,normal_agn,0
075939.50+140543.5,119.914602,14.095429,0.208501,z_0.0-0.3,normal_agn,0
080054.00+391719.1,120.225034,39.288664,0.198637,z_0.0-0.3,normal_agn,0
080131.58+354436.4,120.381622,35.743452,0.178522,z_0.0-0.3,normal_agn,0
074838.61+472323.0,117.160878,47.389733,0.201115,z_0.0-0.3,normal_agn,0
074838.00+285059.4,117.158341,28.849855,0.290600,z_0.0-0.3,normal_agn,0
081516.86+460430.8,123.820291,46.075246,0.041000,z_0.0-0.3,normal_agn,0
082311.26+435318.5,125.796938,43.888480,0.182000,z_0.0-0.3,normal_agn,0
075318.26+492616.5,118.326104,49.437942,0.251094,z_0.0-0.3,normal_agn,0
075944.92+183953.7,119.937185,18.664934,0.263238,z_0.0-0.3,normal_agn,0
084225.43+411517.2,130.605973,41.254781,0.299193,z_0.0-0.3,normal_agn,0
083315.08+100052.3,128.312836,10.014550,0.255000,z_0.0-0.3,normal_agn,0
080835.12+111919.4,122.146344,11.322072,0.232500,z_0.0-0.3,normal_agn,0
075156.63+514323.9,117.985959,51.723323,0.258470,z_0.0-0.3,normal_agn,0
075619.07+122929.1,119.079487,12.491422,0.266332,z_0.0-0.3,normal_agn,0
