mjd,w1_flux_mjy,w1_flux_err_mjy
59749.70867074,0.3266249765433413,0.039030348604038
59911.38660828,0.3310401038527929,0.0297727273485082
59911.71233876,0.3226795823571629,0.0282303386944572
59912.1032663,0.2944245540263979,0.0283780075185611
60116.32146719,0.3358892808229317,0.0436034028059481
60116.45122449,0.42019295489452274,0.0329223480733601
60116.51616681,0.3300929675719113,0.0353061591609379
60117.03519587,0.2877471647326029,0.0306813394517087
60278.25321844,0.35475257264865273,0.0289384337099045
60278.38233912,0.24713432371737365,0.0291059823515288
60278.57602019,0.3675398352814704,0.0301427299259736
60278.64058115,0.37389401930451016,0.0307314141737326
60278.76970183,0.3354196790144939,0.0301036151912681
60278.76982919,0.3636753028917159,0.0561964705523577
60278.83438958,0.37104319446023304,0.0393559671107278
60278.96351027,0.3043427089866503,0.0291416180029063
60278.96363763,0.33945352232552545,0.0345629395173982
60480.58674094,0.33082316802444667,0.0519926017773671
60480.5868683,0.31757274808888725,0.0380228098169702
60481.03433343,0.3469124210168388,0.0441033290015549
