source_id,ra,dec,redshift,spectral_state_1,spectral_state_2,epoch_1,epoch_2,class,label_source,label_method,independent_of_pipeline,confidence,g_mag,notes,mag,y_true,canonical_id,split,source_id_score,score,status,n_points,baseline_days,band_coverage,baseline_years,delta_mag,delta_mag_method,rejection_reason,used_for_metrics,predicted
3555442647201408,47.49745785962,4.58884597783,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,20.033524,0,3555442647201408,test,3555442647201408,0.0837358364850503,OK,185,5096.4901606700005,"W1,W2",13.953429598001373,-0.2226721100126343,seasonal_median_flux,,True,0.0
6151771852919552,40.4717917897,5.49839448332,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,14.132654,0,6151771852919552,test,6151771852919552,0.2636656347570054,OK,199,5096.109419570006,"W1,W2",13.952387185681058,-0.0201652813341135,seasonal_median_flux,,True,0.0
7451665179765376,46.33966441601,6.95026267061,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,17.891428,0,7451665179765376,test,7451665179765376,0.4709474929686454,OK,224,5096.241978760001,"W1,W2",13.952750112963727,0.1823258012073202,seasonal_median_flux,,True,1.0
3822937505992960,46.1773770334,5.10029826666,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,12.096909,0,3822937505992960,test,3822937505992960,0.3104222838010734,OK,193,5096.384342810001,"W1,W2",13.953139884490078,0.0085406519258875,seasonal_median_flux,,True,0.0
12441214586847872,52.2704035099,9.00360665621,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,19.046831,0,12441214586847872,test,12441214586847872,0.544854321182142,OK,121,5099.06469436,"W1,W2",13.960478287091036,0.2845541829412624,seasonal_median_flux,,True,1.0
8328117681250688,43.42433905866,7.53174104141,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,19.773027,0,8328117681250688,test,8328117681250688,0.1493563938976871,OK,168,5096.559177969997,"W1,W2",13.953618557070492,-0.2569466888617853,seasonal_median_flux,,True,0.0
6062299094282624,40.97935487388,5.03429757226,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,18.904568,0,6062299094282624,test,6062299094282624,0.4156854918116873,OK,213,5096.364222979995,"W1,W2",13.95308479939766,-0.2258429516053552,seasonal_median_flux,,True,1.0
3310492072379904,48.99851070822,5.23050112845,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,16.228146,0,3310492072379904,test,3310492072379904,0.195455151178447,OK,174,5096.321183530003,"W1,W2",13.95296696380562,0.0188169768416178,seasonal_median_flux,,True,0.0
8155597434951296,44.24522353616,7.5865648024,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,19.937046,0,8155597434951296,test,8155597434951296,0.1874682136073431,OK,77,5096.017099500001,"W1,W2",13.952134427104724,0.0390507275722053,seasonal_median_flux,,True,0.0
9517651823494656,50.07714102246,6.46106746881,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,15.031378,0,9517651823494656,test,9517651823494656,0.1455120356983682,OK,167,5096.420379739997,"W1,W2",13.953238548227231,-0.0115415051178698,seasonal_median_flux,,True,0.0
6288970288166784,41.65436372536,5.49395018887,,,,,,star,2022A&A...667A.148G,Gaia DR3 variability,True,,,,14.832695,0,6288970288166784,test,6288970288166784,0.0777189520794485,OK,120,5096.016972329999,"W1,W2",13.952134078932234,-0.0112036813082678,seasonal_median_flux,,True,0.0
000001.08+295225.0,0.004528,29.873618,1.495855,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000001.08+295225.0,test,000001.08+295225.0,0.2522704720157607,OK,50,4910.913288780001,"W1,W2",13.44534781322382,0.2424060820972476,seasonal_median_flux,,True,0.0
000159.76+292622.0,0.499007,29.439468,1.975299,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000159.76+292622.0,test,000159.76+292622.0,,TOO_FEW_POINTS,18,4907.747548920001,"W1,W2",13.436680489856265,,,Only 18 epochs (need 20),False,
000022.17+255005.3,0.092398,25.834825,1.38294,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000022.17+255005.3,test,000022.17+255005.3,0.2508907956746108,OK,221,5116.74588776,"W1,W2",14.00888675635866,0.0463541912367102,seasonal_median_flux,,True,0.0
000042.92+310715.3,0.17886,31.120944,1.619551,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000042.92+310715.3,test,000042.92+310715.3,0.2872740488579815,OK,27,4179.074861230001,"W1,W2",11.441683398302535,0.0,seasonal_median_flux,,True,0.0
000123.61-032317.9,0.34839,-3.388329,3.121,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000123.61-032317.9,test,000123.61-032317.9,0.0682894586547564,OK,73,4911.998151090003,"W1,W2",13.448318004353192,-0.1407069559398096,seasonal_median_flux,,True,0.0
000033.71+102012.0,0.140471,10.336684,1.038839,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000033.71+102012.0,test,000033.71+102012.0,0.4347423754555139,OK,26,3285.9404943499976,"W1,W2",8.996414768925387,0.1671268992667368,seasonal_median_flux,,True,1.0
000056.16+192036.9,0.234034,19.343593,1.221,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000056.16+192036.9,test,000056.16+192036.9,0.3504742480518211,OK,153,5115.928883699999,"W1,W2",14.006649921149894,0.404608008383393,seasonal_median_flux,,True,1.0
000059.58+295642.5,0.248268,29.945145,3.252,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000059.58+295642.5,test,000059.58+295642.5,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 3 valid W1 flux measurements,False,
000203.11+315153.1,0.512959,31.864774,2.265,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000203.11+315153.1,test,000203.11+315153.1,0.3821741772027117,OK,171,4908.633698229998,"W1,W2",13.439106634442158,0.3969385204294172,seasonal_median_flux,,True,1.0
000139.32+331947.9,0.413862,33.329993,1.924306,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000139.32+331947.9,test,000139.32+331947.9,,TOO_FEW_POINTS,11,3812.089766240002,"W1,W2",10.436932967118418,,,Only 11 epochs (need 20),False,
000130.25+053321.5,0.376044,5.555976,2.057971,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000130.25+053321.5,test,000130.25+053321.5,,TOO_FEW_POINTS,6,3268.939740490001,"W1,W2",8.949869241587956,,,Only 6 epochs (need 20),False,
000130.57+130847.3,0.377384,13.146475,3.051,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000130.57+130847.3,test,000130.57+130847.3,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 1 valid W1 flux measurements,False,
000020.66+312202.7,0.086095,31.367437,2.95,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000020.66+312202.7,test,000020.66+312202.7,,TOO_FEW_POINTS,6,3105.354965040002,"W1,W2",8.501998535359348,,,Only 6 epochs (need 20),False,
000030.64-064100.0,0.127696,-6.683355,2.606,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000030.64-064100.0,test,000030.64-064100.0,0.1320530291414456,OK,193,5114.118378359999,"W1,W2",14.00169302767967,0.121273102267431,seasonal_median_flux,,True,0.0
000200.07+291810.7,0.500312,29.302984,2.809,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000200.07+291810.7,test,000200.07+291810.7,,TOO_FEW_POINTS,10,4908.330247589998,"W1,W2",13.438275831868578,,,Only 10 epochs (need 20),False,
000048.01+333926.9,0.200054,33.657498,1.737,,,,,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,,,0,000048.01+333926.9,test,000048.01+333926.9,,TOO_FEW_POINTS,15,5113.51229133,"W1,W2",14.000033651827517,,,Only 15 epochs (need 20),False,
