subset,source_id,source_id_normalized,canonical_id,source_id_matches_canonical,id_mismatch_reason,is_ambiguous_id,score,status,n_points,baseline_days,baseline_years,baseline_years_recomputed,baseline_years_diff,baseline_years_consistent,band_coverage,delta_mag,rejection_reason,strict_quality
top_ok,1997bt,1997bt,1997bt,True,,False,0.6993112959462682,OK,197,5098.219330610002,13.958163807282688,13.958163807282688,0.0,True,"W1,W2",0.5901769602134956,,True
top_ok,2000dw,2000dw,2000dw,True,,False,0.6809886838880634,OK,202,5114.3432504500015,14.002308693908288,14.002308693908287,1.7763568394002505e-15,True,"W1,W2",0.5670324108342036,,True
top_ok,3C 120,3C 120,3C 120,True,,False,0.6366682421734613,OK,218,5098.834231709996,13.959847314743316,13.959847314743316,0.0,True,"W1,W2",0.4042561562616225,,True
top_ok,3C 279,3C 279,3C 279,True,,False,0.8249998092651367,OK,191,5269.14904402,14.426143857686515,14.426143857686515,0.0,True,"W1,W2",0.2611901976717136,,True
top_ok,3C 345,3C 345,3C 345,True,,False,0.7126662497916778,OK,505,5277.51728385,14.449054849691992,14.449054849691992,0.0,True,"W1,W2",-0.02926557572264,,True
top_ok,3C 446,3C 446,3C 446,True,,False,0.689993808682749,OK,202,5113.961700150001,14.0012640661191,14.001264066119099,1.7763568394002505e-15,True,"W1,W2",-0.1256131829263529,,True
top_ok,3C 66A,3C 66A,3C 66A,True,,False,0.6521291301027625,OK,179,5096.12775688,13.952437390499655,13.952437390499657,1.7763568394002505e-15,True,"W1,W2",-0.9603771811294204,,True
top_ok,4645750160709248,4645750160709248,4645750160709248,True,,False,0.8421789664240723,OK,190,5096.470295940002,13.953375211334707,13.953375211334707,0.0,True,"W1,W2",0.537504487993528,,True
top_ok,4C 29.45,4C 29.45,4C 29.45,True,,False,0.6373001299825053,OK,135,5098.245538859999,13.958235561560572,13.958235561560572,0.0,True,"W1,W2",-0.2574792302885516,,True
top_ok,5054111356737024,5054111356737024,5054111356737024,True,,False,0.7060904416796688,OK,217,5096.21880327,13.952686661930183,13.952686661930183,0.0,True,"W1,W2",0.5876074942795707,,True
top_ok,5928944654308352,5928944654308352,5928944654308352,True,,False,0.6375916643497501,OK,47,5095.348192079997,13.95030305839835,13.95030305839835,0.0,True,"W1,W2",0.3590203203536909,,False
top_ok,BL Lac,BL Lac,BL Lac,True,,False,0.7953332265218098,OK,247,5114.356492899999,14.002344949760436,14.002344949760435,1.7763568394002505e-15,True,"W1,W2",0.8252714320173409,,True
top_ok,NGC 1275,NGC 1275,NGC 1275,True,,False,0.6405427000893436,OK,167,5098.912652600004,13.96006201943875,13.96006201943875,0.0,True,"W1,W2",0.4917668506786096,,True
top_ok,NGC 3516,NGC 3516,NGC 3516,True,,False,0.6411904341423882,OK,439,5098.987122220002,13.96026590614648,13.96026590614648,0.0,True,"W1,W2",0.1712635191301474,,True
top_ok,SDSSJJ020222.00+010557.11,SDSSJ020222.00+010557.11,SDSSJ020222.00+010557.11,True,sdss_double_j,False,0.6690476782771857,OK,147,5300.560716709995,14.512144330485956,14.512144330485956,0.0,True,"W1,W2",-0.4350694670110582,,True
