source_id,canonical_id,score,status,n_points,baseline_days,band_coverage,baseline_years,delta_mag,delta_mag_method,rejection_reason,status_normalized,baseline_years_recomputed,baseline_years_diff,baseline_years_consistent,is_ok,source_id_normalized,source_id_matches_canonical,id_mismatch_reason,is_ambiguous_id,has_w1,has_w2,strict_quality,score_is_missing,score_is_finite,rejection_bucket
1959C,1959C,0.65,OK,46,5268.449067820002,"W1,W2",14.424227427296378,0.0,seasonal_median_flux,,OK,14.424227427296378,0.0,True,True,1959C,True,,False,True,True,False,False,True,ok
1960P,1960P,0.3448319783324515,OK,240,5301.097197419993,"W1,W2",14.513613134620105,-0.0518415559074395,seasonal_median_flux,,OK,14.513613134620103,1.7763568394002505e-15,True,True,1960P,True,,False,True,True,True,False,True,ok
1960R,1960R,0.1795807991075906,OK,58,3443.949597229999,"W1,W2",9.429020115619435,-0.0005609444217516,seasonal_median_flux,,OK,9.429020115619437,1.7763568394002505e-15,True,True,1960R,True,,False,True,True,True,False,True,ok
1961N,1961N,,TOO_FEW_POINTS,16,180.27135819999967,"W1,W2",0.4935560799452421,,,Only 16 epochs (need 20),TOO_FEW_POINTS,0.4935560799452421,0.0,True,False,1961N,True,,False,True,True,False,True,False,few_epochs
1961Q,1961Q,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 0 valid W1 flux measurements,TOO_FEW_POINTS,0.0,0.0,True,False,1961Q,True,,False,False,False,False,True,False,too_few_points_other
1962E,1962E,,TOO_FEW_POINTS,29,4208.613582450002,"W1,W2",11.522556009445587,,,Only 4 post-gap epochs (need 5); NEOWISE-R data missing or insufficient,TOO_FEW_POINTS,11.522556009445589,1.7763568394002505e-15,True,False,1962E,True,,False,True,True,False,True,False,few_epochs
1971G,1971G,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 4 valid W1 flux measurements,TOO_FEW_POINTS,0.0,0.0,True,False,1971G,True,,False,False,False,False,True,False,too_few_points_other
1979C,1979C,0.2473748200745922,OK,26,3114.812684110002,"W1,W2",8.527892358959622,0.0,seasonal_median_flux,,OK,8.527892358959622,0.0,True,True,1979C,True,,False,True,True,False,False,True,ok
1984L,1984L,0.5084160610577515,OK,188,5304.875410330002,"W1,W2",14.523957317809725,-0.0137861817711785,seasonal_median_flux,,OK,14.523957317809725,0.0,True,True,1984L,True,,False,True,True,True,False,True,ok
1986E,1986E,,TOO_FEW_POINTS,21,196.99041900000157,"W1,W2",0.5393303737166367,,,Baseline 0.5 yr < 7.0 yr,TOO_FEW_POINTS,0.5393303737166367,0.0,True,False,1986E,True,,False,True,True,False,True,False,short_baseline
1987B,1987B,,TOO_FEW_POINTS,16,4730.832349420001,W1_only,12.95231307164956,,,Only 16 epochs (need 20),TOO_FEW_POINTS,12.95231307164956,0.0,True,False,1987B,True,,False,True,False,False,True,False,few_epochs
1988ai,1988ai,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 1 valid W1 flux measurements,TOO_FEW_POINTS,0.0,0.0,True,False,1988ai,True,,False,False,False,False,True,False,too_few_points_other
1989ae,1989ae,0.09677260376953,OK,238,5101.188173909999,"W1,W2",13.966292057248458,-0.105148671692132,seasonal_median_flux,,OK,13.966292057248458,0.0,True,True,1989ae,True,,False,True,True,True,False,True,ok
1990Q,1990Q,,NO_DATA,0,0.0,none,0.0,,,No data returned from IRSA queries or failed all QA filters,NO_DATA,0.0,0.0,True,False,1990Q,True,,False,False,False,False,True,False,no_data
1991D,1991D,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 1 valid W1 flux measurements,TOO_FEW_POINTS,0.0,0.0,True,False,1991D,True,,False,False,False,False,True,False,too_few_points_other
1992bk,1992bk,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 1 valid W1 flux measurements,TOO_FEW_POINTS,0.0,0.0,True,False,1992bk,True,,False,False,False,False,True,False,too_few_points_other
1993G,1993G,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 1 valid W1 flux measurements,TOO_FEW_POINTS,0.0,0.0,True,False,1993G,True,,False,False,False,False,True,False,too_few_points_other
1994G,1994G,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 4 valid W1 flux measurements,TOO_FEW_POINTS,0.0,0.0,True,False,1994G,True,,False,False,False,False,True,False,too_few_points_other
1994I,1994I,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 0 valid W1 flux measurements,TOO_FEW_POINTS,0.0,0.0,True,False,1994I,True,,False,False,False,False,True,False,too_few_points_other
1994M,1994M,0.2817847314310165,OK,21,3274.032755289998,"W1,W2",8.963813156167003,0.0,seasonal_median_flux,,OK,8.963813156167003,0.0,True,True,1994M,True,,False,True,True,False,False,True,ok
1995I,1995I,0.2435250480752346,OK,175,5272.0233048200025,"W1,W2",14.434013154880226,0.0481409948183004,seasonal_median_flux,,OK,14.434013154880226,0.0,True,True,1995I,True,,False,True,True,True,False,True,ok
1995T,1995T,0.0626614803964709,OK,190,5114.003974610001,"W1,W2",14.001379807282683,-0.0198564280578274,seasonal_median_flux,,OK,14.001379807282685,1.7763568394002505e-15,True,True,1995T,True,,False,True,True,True,False,True,ok
1995bc,1995bc,,TOO_FEW_POINTS,5,2749.479661950005,"W1,W2",7.527665056673524,,,Only 5 epochs (need 20),TOO_FEW_POINTS,7.527665056673524,0.0,True,False,1995bc,True,,False,True,True,False,True,False,few_epochs
1996bn,1996bn,,TOO_FEW_POINTS,35,198.39842379999752,"W1,W2",0.5431852807665914,,,Baseline 0.5 yr < 7.0 yr,TOO_FEW_POINTS,0.5431852807665914,0.0,True,False,1996bn,True,,False,True,True,False,True,False,short_baseline
