source_id,label,color_slope_early,color_slope_late,color_asymmetry,color_range,color_flux_corr,color_flux_corr_pval,dust_lag_proxy,is_turnon_color_signal,is_turnoff_color_signal,n_epochs
5BZG J0912+4235,blazar,0.09453264807107932,-0.0007784852859982959,-10.0,1.5310001999999994,-0.30242211548592646,4.973320664307262e-07,-1.5918123539055435,0,0,266
5BZQ J1804+0101,blazar,0.015029534258406255,0.12405837860645336,0.12114888512354327,1.4520006000000016,-0.6343256926128349,5.865913964058293e-20,1.399731147491855,0,0,165
5BZB J2123-1036,blazar,0.09346926740944217,-0.12526541414150072,-0.7461697871677382,1.5950003000000006,-0.2884307133425501,4.331181017114663e-05,-1.499844759117044,0,0,195
5BZQ J2304+2331,blazar,0.012317615613075114,-0.19987734197733933,-0.06162587260376715,2.066001,-0.5697787936943426,4.1263702199942595e-21,6.8806924513318215,0,0,229
5BZB J0726+3734,blazar,0.10952658666624018,0.24660025110664852,0.44414629009794737,1.4300002999999997,-0.014243811033778878,0.8449458802378296,-0.6964362620744703,0,0,191
5BZB J1745-0753,blazar,0.005121129052095263,-0.0628541196013697,-0.08147642643909796,0.4630003000000009,-0.4636659722908424,6.2054355112195625e-09,-6.698676655365367,0,0,142
5BZB J2108-0250,blazar,-0.07659337228615073,0.006734681861480759,-10.0,0.33599950000000156,0.3453970313050908,6.240357098581043e-07,-0.09998317649007525,0,0,198
5BZQ J2129-1538,blazar,-0.0739424842467863,0.0321664070724909,-2.2987486317681656,0.7860002000000019,-0.6179137900817628,4.5593530380190325e-19,-4.449387257783027,0,0,168
5BZQ J2248-2931,blazar,0.037612633326062385,0.011526153552002108,3.2632424300411147,1.5480003,-0.2503245357224986,0.032679977857879156,-4.146232143907459,0,0,73
5BZB J2131-0915,blazar,-0.04005862626057905,-0.0503813032994626,0.7951089717245632,0.7060004000000006,-0.1343746955996718,0.09997564104204104,1.9497675947609836,0,0,151
5BZB J0928+4048,blazar,0.08254316075993197,-0.03744215336349406,-2.204551644201404,1.588000300000001,0.026451170361728768,0.6748095600233168,0.39794430203860376,0,0,254
5BZQ J2017+0603,blazar,0.04528353770735376,0.021404868074469896,2.115571913352016,0.5529995000000003,-0.5513217675383609,4.1958786406664053e-14,2.900579060836688,0,0,160
5BZQ J0525-4557,blazar,0.0010683437604277406,-0.02067031009770988,-0.05168494112461841,1.2029999999999994,-0.6132643852330059,1.3012064385424107e-43,3.5903061985281264,0,0,409
5BZQ J0719-6218,blazar,0.10480246772327705,0.29451225441847906,0.3558509574761561,2.523000699999999,-0.07899892762128743,0.1055261017700119,8.425456673159754,0,0,421
5BZQ J0646-3903,blazar,-0.026082555888487177,0.04705814715455314,-0.554262279023103,0.9060001,-0.3365430934950582,5.225794726206533e-08,-5.0468204142661195,0,0,249
5BZQ J2301-0158,blazar,0.040072517853278256,-0.04908161100904449,-0.8164466697291968,0.7810001,-0.026543781769202943,0.7191224333171802,-1.3997721082836407,0,0,186
5BZQ J2257+0243,blazar,-0.09414851897866695,-0.04518025217996043,2.0838422637319023,1.1280003999999995,-0.44354840040474963,3.814504172050306e-11,-1.999207064673513,0,0,202
5BZB J2116+3339,blazar,0.031961896240002396,0.10984818723132234,0.2909642575411451,0.7510003999999988,-0.3367916883598133,2.1522531221128177e-06,-0.8497569885979468,0,0,189
5BZQ J1934+6138,blazar,-0.34822751293757,0.2348740413182353,-1.4826138767108363,2.584999999999999,-0.09648589995598887,0.20532698383804301,-5.349549163460917,0,0,174
5BZB J0710+5908,blazar,0.022089103496393526,0.0655723069751008,0.3368663467152563,0.6239996000000012,0.20907978199480715,0.0009698702024424464,0.3979926116479125,0,0,246
5BZB J2324+0802,blazar,0.06304311634905249,0.007326207817843259,8.605149883341907,0.5659989000000003,0.16506049622416114,0.034117828001921605,-1.5756794297905528,0,0,165
5BZQ J0733+0456,blazar,-0.04873958836931516,0.15412733453668667,-0.31622936006665164,1.5959987000000009,0.14143905314327856,0.1386761135807087,3.14543016342505,0,0,111
5BZQ J2000-1748,blazar,0.0654491353054837,0.05271282736244114,1.2416168621628028,0.3240003999999992,-0.5530473389149732,1.1064569279017172e-14,4.654865970142364,0,0,166
5BZQ J0603+1742,blazar,0.04640806190268874,0.0856509686441381,0.5418276364801494,1.5830000999999996,-0.6320056614402065,5.343415379220717e-19,-3.6315017440982906,0,0,158
5BZG J1733+4519,blazar,-0.03347059541426087,0.07525752909167016,-0.44474746670849097,1.5399999999999991,-0.36675563898380514,7.685322264035842e-22,6.001469376509233,0,0,641
5BZU J2023-1139,blazar,-0.021207799848037445,0.036991417827796316,-0.5733167608434124,2.267000200000002,-0.47985180547098416,3.5676175414303196e-11,4.246071071715944,0,0,170
5BZQ J2320+0513,blazar,0.07439034397015239,-0.019934425371897165,-3.7317526129960696,0.8039999999999985,-0.26867149567216725,6.34705326459918e-05,3.949570486830386,0,0,216
4FGL J0539.7-0521c,blazar,,,,1.6709995000000006,-0.6062045346329372,0.0013178406341215311,-1.3509348345462013,0,0,25
5BZQ J2309-3059,blazar,-0.2628788081320279,-0.18250530912625906,1.4403899228496724,0.9550000000000001,-0.5010402227070406,1.483957254008625e-07,-2.3478902376787114,0,0,98
5BZU J0645+6024,blazar,-0.009546343236843004,0.07436256209940947,-0.1283756633355538,0.7870005999999989,-0.5437353602688002,6.158576844959397e-17,-1.7907552700928155,0,0,202
5BZQ J2023-3655,blazar,0.04816176946739404,-0.06394277917901896,-0.7532010664184109,0.45600029999999947,-0.6742922942707429,6.857418435803817e-24,-6.243005660523611,0,0,170
