source_id,ra,dec,class,label_source,label_method,independent_of_pipeline,notes,mag,redshift
IIZw 1,20.4993,-1.04,blazar,III/157,Blazar catalog (III/157),True,,15.170000076293945,
3C 351,256.1724,60.7418,blazar,III/157,Blazar catalog (III/157),True,,15.279999732971191,
3C 446,336.4469,-4.9504,blazar,III/157,Blazar catalog (III/157),True,,17.190000534057617,
NGC 1275,49.9507,41.5117,blazar,III/157,Blazar catalog (III/157),True,,12.479999542236328,
OJ 287,133.7036,20.1085,blazar,III/157,Blazar catalog (III/157),True,,14.0,
3C 273,187.2779,2.0524,blazar,III/157,Blazar catalog (III/157),True,,12.859999656677246,
3C 120,68.2962,5.3543,blazar,III/157,Blazar catalog (III/157),True,,15.050000190734863,
Mrk 205,185.4338,75.3106,blazar,III/157,Blazar catalog (III/157),True,,14.5,
Fairall 9,20.9417,-58.8066,blazar,III/157,Blazar catalog (III/157),True,,13.229999542236328,
3C 345,250.745,39.8103,blazar,III/157,Blazar catalog (III/157),True,,15.960000038146973,
TON 490,153.4726,24.8212,blazar,III/157,Blazar catalog (III/157),True,,15.399999618530273,
AKN 120,79.0478,-0.1502,blazar,III/157,Blazar catalog (III/157),True,,13.920000076293945,
IIIZw 2,2.6292,10.9749,blazar,III/157,Blazar catalog (III/157),True,,15.399999618530273,
Mrk 180,174.11,70.1576,blazar,III/157,Blazar catalog (III/157),True,,14.489999771118164,
Mrk 1383,217.2774,1.2851,blazar,III/157,Blazar catalog (III/157),True,,14.869999885559082,
3C 382.0,278.7641,32.6963,blazar,III/157,Blazar catalog (III/157),True,,15.390000343322754,
7017568540477440,45.86289947461,6.33059307011,star,2022A&A...667A.148G,Gaia DR3 variability,True,,14.513234,
7866077983944448,46.36034281474,8.04504144158,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.767101,
10035624879191040,52.31131411744,7.71765365745,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.438099,
11271506013429504,53.65193153413,7.4914358003,star,2022A&A...667A.148G,Gaia DR3 variability,True,,13.210085,
3555442647201408,47.49745785962,4.58884597783,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.033524,
11918706045404160,54.49820765326,8.99819412043,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.198288,
8797952743613440,43.95677198172,8.20529048913,star,2022A&A...667A.148G,Gaia DR3 variability,True,,12.723487,
