rank,source_id,canonical_id,source_id_normalized,canonical_id_normalized,score,status,n_points_results,baseline_days_results,baseline_years_results,band_coverage_results,delta_mag_results,raw_points_total,kept_points_total,fraction_rejected_total,kept_points_w1,kept_points_w2,season_bins_w1,season_bins_w2,has_pre_gap,has_post_gap,has_both_sides,systematics_verdict,blazar_match,known_clagn_match,stage_a_positive,gate_blazar_veto,gate_wise_qc_pass,gate_data_sufficient,gate_state_change_ratio_pass,gate_transient_spike_pass,state_change_ratio_value,transient_spike_flag,transient_max_nonpeak_ratio,transient_max_adjacency_ratio,transient_min_band_seasons,fp_mode_hint,final_label,decision_trace,coordinate_source,is_top_clagn_candidate,card_path,figure_path
182,8322340949965312,8322340949965312,8322340949965312,8322340949965312,0.118461,OK,124.000000,5096.298390,13.952905,"W1,W2",0.144280,478,478,0.000000,239,239,24,24,True,True,True,PASS,False,False,False,True,True,True,True,True,3.178886,False,0.857595,0.556790,24,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/182_8322340949965312.md,outputs/v2_rows/figures/8322340949965312_wise.png
183,000057.15+150936.5,000057.15+150936.5,000057.15+150936.5,000057.15+150936.5,0.115892,OK,85.000000,5112.737794,13.997913,"W1,W2",0.206943,492,469,0.046748,246,223,24,22,False,True,False,CAUTION,False,False,False,True,True,True,True,True,4.560209,False,0.913043,0.014431,22,normal_agn_like,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/183_000057.15+150936.5.md,outputs/v2_rows/figures/000057.15+150936.5_wise.png
184,11271506013429504,11271506013429504,11271506013429504,11271506013429504,0.112911,OK,145.000000,5099.170004,13.960767,"W1,W2",0.000615,580,580,0.000000,290,290,23,23,True,True,True,PASS,False,False,False,True,True,True,True,True,6.538462,False,0.666048,0.141700,23,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/184_11271506013429504.md,outputs/v2_rows/figures/11271506013429504_wise.png
185,1999dz,1999dz,1999DZ,1999DZ,0.111602,OK,191.000000,5299.971184,14.510530,"W1,W2",0.025718,602,602,0.000000,301,301,18,18,True,True,True,PASS,False,False,False,True,True,True,True,True,8.230964,False,0.273196,0.192440,18,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/185_1999dz.md,outputs/v2_rows/figures/1999dz_wise.png
186,1999dp,1999dp,1999DP,1999DP,0.108797,OK,222.000000,3275.669148,8.968293,"W1,W2",-0.022115,642,533,0.169782,254,279,21,21,False,True,False,CAUTION,False,False,False,True,True,True,True,True,3.213483,False,0.869281,0.432990,21,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/186_1999dp.md,outputs/v2_rows/figures/1999dp_wise.png
187,6827348733385856,6827348733385856,6827348733385856,6827348733385856,0.107984,OK,196.000000,5096.549755,13.953593,"W1,W2",0.085468,614,613,0.001629,307,306,24,24,True,True,True,PASS,False,False,False,True,True,True,True,True,2.722955,False,0.900794,0.658683,24,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/187_6827348733385856.md,outputs/v2_rows/figures/6827348733385856_wise.png
188,000151.24+084413.3,000151.24+084413.3,000151.24+084413.3,000151.24+084413.3,0.105011,OK,179.000000,5114.037271,14.001471,"W1,W2",0.044476,574,574,0.000000,287,287,24,24,False,True,False,CAUTION,False,False,False,True,True,True,True,True,3.317073,False,0.952174,0.952174,24,normal_agn_like,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/188_000151.24+084413.3.md,outputs/v2_rows/figures/000151.24+084413.3_wise.png
189,SDSSJJ080138.67+423354.1,SDSSJ080138.67+423354.1,SDSSJ080138.67+423354.1,SDSSJ080138.67+423354.1,0.100068,OK,187.000000,5098.721881,13.959540,"W1,W2",0.047342,496,485,0.022177,239,246,22,22,True,True,True,PASS,False,False,False,True,True,True,True,True,2.834313,False,0.893617,0.684358,22,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/189_SDSSJ080138.67+423354.1.md,outputs/v2_rows/figures/SDSSJ080138.67+423354.1_wise.png
190,1989ae,1989ae,1989AE,1989AE,0.096773,OK,238.000000,5101.188174,13.966292,"W1,W2",-0.105149,670,668,0.002985,334,334,24,24,True,True,True,PASS,False,False,False,True,True,True,True,True,3.225434,False,0.952000,0.952000,24,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/190_1989ae.md,outputs/v2_rows/figures/1989ae_wise.png
191,7627655759471360,7627655759471360,7627655759471360,7627655759471360,0.088411,OK,173.000000,5096.126228,13.952433,"W1,W2",-0.054797,588,588,0.000000,294,294,24,24,True,True,True,PASS,False,False,False,True,True,True,True,True,3.378788,False,0.977654,0.977654,24,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/191_7627655759471360.md,outputs/v2_rows/figures/7627655759471360_wise.png
192,7017568540477440,7017568540477440,7017568540477440,7017568540477440,0.087733,OK,176.000000,5096.384343,13.953140,"W1,W2",-0.039927,624,624,0.000000,312,312,24,24,True,True,True,PASS,False,False,False,True,True,True,True,True,2.410714,False,0.768997,0.237179,24,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/192_7017568540477440.md,outputs/v2_rows/figures/7017568540477440_wise.png
193,3555442647201408,3555442647201408,3555442647201408,3555442647201408,0.083736,OK,185.000000,5096.490161,13.953430,"W1,W2",-0.222672,570,570,0.000000,285,285,24,24,True,True,True,PASS,False,False,False,True,True,True,True,True,2.951586,False,0.936768,0.840749,24,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/193_3555442647201408.md,outputs/v2_rows/figures/3555442647201408_wise.png
194,13107003236999040,13107003236999040,13107003236999040,13107003236999040,0.077732,OK,164.000000,5099.146447,13.960702,"W1,W2",0.026983,524,522,0.003817,261,261,23,23,True,True,True,PASS,False,False,False,True,True,True,True,True,3.102941,False,0.993834,0.083981,23,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/194_13107003236999040.md,outputs/v2_rows/figures/13107003236999040_wise.png
195,6288970288166784,6288970288166784,6288970288166784,6288970288166784,0.077719,OK,120.000000,5096.016972,13.952134,"W1,W2",-0.011204,74,64,0.135135,37,27,3,3,True,False,False,CAUTION,False,False,False,True,True,True,False,False,,True,,,0,sn_like,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=fail;gate_transient_spike_pass=fail,benchmark_master,False,outputs/v2_rows/cards/195_6288970288166784.md,outputs/v2_rows/figures/6288970288166784_wise.png
196,3885330495346688,3885330495346688,3885330495346688,3885330495346688,0.077267,OK,182.000000,5096.513336,13.953493,"W1,W2",0.008166,586,586,0.000000,293,293,24,24,True,True,True,PASS,False,False,False,True,True,True,True,True,3.434312,False,0.905882,0.905882,24,unknown,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/196_3885330495346688.md,outputs/v2_rows/figures/3885330495346688_wise.png
197,000055.85+200708.9,000055.85+200708.9,000055.85+200708.9,000055.85+200708.9,0.074108,OK,181.000000,5116.955481,14.009461,"W1,W2",0.196043,568,568,0.000000,284,284,23,23,False,True,False,CAUTION,False,False,False,True,True,True,True,True,3.370558,False,0.876333,0.316052,23,normal_agn_like,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/197_000055.85+200708.9.md,outputs/v2_rows/figures/000055.85+200708.9_wise.png
198,000123.61-032317.9,000123.61-032317.9,000123.61-032317.9,000123.61-032317.9,0.068289,OK,73.000000,4911.998151,13.448318,"W1,W2",-0.140707,276,276,0.000000,138,138,24,24,False,True,False,CAUTION,False,False,False,True,True,True,True,True,11.931818,False,0.660735,0.261367,24,normal_agn_like,Rejected,stage_a_positive=fail;gate_blazar_veto=pass;gate_wise_qc_pass=pass;gate_data_sufficient=pass;gate_state_change_ratio_pass=pass;gate_transient_spike_pass=pass,benchmark_master,False,outputs/v2_rows/cards/198_000123.61-032317.9.md,outputs/v2_rows/figures/000123.61-032317.9_wise.png
